grish,0
grish,0
rajan,0
grish,0
grish,0
grish,100
rajan,0
grish,100
John,100
grish,100
grish,100
grish,100
grish,100
Nikki,100
Nikki,100
Manas,100
Manas,100
Nikki,100
Nikki,200
grish,100
Manas,100
John,100
rajan,0
Nikki,200
grish,200
Manas,100
John,100
rajan,0
Nikki,200
grish,200
Manas,200
John,100
rajan,0
Nikki,200
grish,200
Manas,300
John,100
rajan,0
Nikki,200
grish,300
Manas,300
John,100
rajan,0
Nikki,200
grish,300
Manas,400
John,100
rajan,0
Nikki,200
grish,400
Manas,400
John,100
rajan,0
Nikki,300
grish,400
Manas,400
John,100
rajan,0
Nikki,300
grish,500
Manas,400
John,100
rajan,0
